2020-12-03 12:22:02,933 INFO  [restartedMain] BackendresearchbrApplication : Starting BackendresearchbrApplication using Java 1.8.0_275 on tf with PID 16832 (/home/tiagofalcon/Documents/EaD_ADS/ciclo_5/Ead_Projeto_Aplicado/projeto/researchbr/backendresearchbr/build/classes/java/main started by tiagofalcon in /home/tiagofalcon/Documents/EaD_ADS/ciclo_5/Ead_Projeto_Aplicado/projeto/researchbr/backendresearchbr)
2020-12-03 12:22:02,947 INFO  [restartedMain] BackendresearchbrApplication : The following profiles are active: dev
2020-12-03 12:22:03,048 WARN  [restartedMain] ConfigDataEnvironment : Property 'spring.profiles' imported from location 'class path resource [application.yaml]' is invalid and should be replaced with 'spring.config.activate.on-profile' [origin: class path resource [application.yaml] - 41:13]
2020-12-03 12:22:03,050 WARN  [restartedMain] ConfigDataEnvironment : Property 'spring.profiles' imported from location 'class path resource [application.yaml]' is invalid and should be replaced with 'spring.config.activate.on-profile' [origin: class path resource [application.yaml] - 11:13]
2020-12-03 12:22:03,052 INFO  [restartedMain] ChangeableUrls : The Class-Path manifest attribute in /home/tiagofalcon/Documents/EaD_ADS/ciclo_5/Ead_Projeto_Aplicado/projeto/researchbr/ojdbc8.jar referenced one or more files that do not exist: file:/home/tiagofalcon/Documents/EaD_ADS/ciclo_5/Ead_Projeto_Aplicado/projeto/researchbr/oraclepki.jar
2020-12-03 12:22:03,053 INFO  [restartedMain] DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-12-03 12:22:03,053 INFO  [restartedMain] DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-12-03 12:22:04,102 INFO  [restartedMain] RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFERRED mode.
2020-12-03 12:22:04,204 INFO  [restartedMain] RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 90 ms. Found 6 JPA repository interfaces.
2020-12-03 12:22:04,366 INFO  [restartedMain] ConfigurationClassPostProcessor : Cannot enhance @Configuration bean definition 'org.springframework.security.oauth2.config.annotation.web.configuration.AuthorizationServerEndpointsConfiguration$TokenKeyEndpointRegistrar' since its singleton instance has been created too early. The typical cause is a non-static @Bean method with a BeanDefinitionRegistryPostProcessor return type: Consider declaring such methods as 'static'.
2020-12-03 12:22:04,682 INFO  [restartedMain] PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@39433843' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-12-03 12:22:04,688 INFO  [restartedMain] PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-12-03 12:22:05,313 INFO  [restartedMain] TomcatWebServer : Tomcat initialized with port(s): 8080 (http)
2020-12-03 12:22:05,418 INFO  [restartedMain] StandardService : Starting service [Tomcat]
2020-12-03 12:22:05,419 INFO  [restartedMain] StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.39]
2020-12-03 12:22:05,500 INFO  [restartedMain] [/] : Initializing Spring embedded WebApplicationContext
2020-12-03 12:22:05,500 INFO  [restartedMain] ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2446 ms
2020-12-03 12:22:05,711 INFO  [restartedMain] HikariDataSource : HikariPool-1 - Starting...
2020-12-03 12:22:06,693 INFO  [restartedMain] HikariDataSource : HikariPool-1 - Start completed.
2020-12-03 12:22:06,700 INFO  [restartedMain] H2ConsoleAutoConfiguration : H2 console available at '/h2-console'. Database available at 'jdbc:mysql://localhost:3306/backendresearchbr'
2020-12-03 12:22:06,855 INFO  [restartedMain] ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor'
2020-12-03 12:22:07,087 WARN  [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-12-03 12:22:09,265 INFO  [task-1] LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-12-03 12:22:09,707 INFO  [task-2] OptionalLiveReloadServer : LiveReload server is running on port 35729
2020-12-03 12:22:09,792 WARN  [restartedMain] JwtAccessTokenConverter : Unable to create an RSA verifier from verifierKey (ignoreable if using MAC)
2020-12-03 12:22:10,769 INFO  [restartedMain] DefaultSecurityFilterChain : Will secure Or [Ant [pattern='/login'], Ant [pattern='/oauth/token_key'], Ant [pattern='/oauth/check_token']] with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6fedf7a1, org.springframework.security.web.context.SecurityContextPersistenceFilter@17a03731, org.springframework.security.web.header.HeaderWriterFilter@227b0184, org.springframework.security.web.authentication.logout.LogoutFilter@74a78d82, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@70e7b5c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5e763119, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5737b5f6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4c96e798, org.springframework.security.web.session.SessionManagementFilter@217db90b, org.springframework.security.web.access.ExceptionTranslationFilter@722383df, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7a1c188a]
